CODIGO ELEMENTO DE DESPESA;NOME ELEMENTO DE DESPESA;2010;2011;2012;2013;2014;2015
339001;APOSENTADORIAS,RESERVA REMUNERADA E REFORMAS;11416763330,59;13150408526,910004;15898066169,419994;0,0;0;0
459063;AQUISICAO DE TITULOS DE CREDITO;0;0;0;0;0;89944956,04
339003;PENSOES;3876718169,56;4354437756,35;5030252117,52;0,0;0;0
319194;INDENIZACOES E RESTITUICOES TRABALHISTAS;0;0;0;537900,0;29601,0;0
335039;OUTROS SERVICOS DE TERCEIROS- PESSOA JURIDIC;3484785,08;5694938,52;49754988,94000001;65796357,23;98488924,55000001;874564500,84
319008;OUTROS BENEF.ASSIST.DO SERVIDOR E DO MILITAR;2819258,4200000004;3541194,9999999995;3256764,0;4405098,899999983;5068694,629999999;5575786,35999995
334039;OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA;435808168,2199998;481215117,57999974;594129207,8300003;292562782,11000013;157550934,35;101717898,61
341444;CLASSIF.DO EXERCICIO ANTERIOR_¨;0,0;0,0;0,0;0;0;0
445042;AUXILIOS;342926766,71000004;232951743,3600001;240520769,23000008;235980055,61999997;170152095,60999995;40594396,68000001
444092;DESPESAS DE EXERCICIOS ANTERIORES;0;0;0;0;151498,06;0
319116;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;0;0;0;618553,0;2029327,0;2888400,0
319009;SALARIO FAMILIA;826758,4599999934;955467,829999997;724974,4099999996;0,0;0,0;0
339139;OUT SERV DE TERC-PJ INTRA ORCAMENTARIAS;49141511,580000006;72405544,41;80373279,07000005;505638634,00000006;817262767,8399992;645737723,0499996
337041;CONTRIBUICOES;110259815,82000002;127939943,74000002;130753940,0;155252707,80000004;158364702,72000006;155227696,58999997
319113;OBRIGACOES PATRONAIS;12520615985,46017;14381539569,46996;17359453031,500046;19239723794,430065;21120523787,51997;23379950239,419952
319109;SALARIO FAMILIA;3083,2300000000005;2981,4400000000005;1915,9200000000003;0,0;0;0
449039;OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA;23706165,330000002;16500324,110000001;20676013,530000005;87170655,46;189045485,45;85757704,98999994
449051;OBRAS E INSTALACOES;8289538841,469978;5562800037,930012;4089052106,7399993;8341693786,130005;8227368454,289996;6017782569,810013
459165;CONST.OU AUMENTO DE CAPITAL DE EMPRESAS;1178504110,0;1020634467,79;862755899,01;630584697,99;783958650,4;641436055,4
339193;INDENIZACOES E RESTITUICOES;0;2570881,1699999995;500734,18999999994;28690,18;11550,76;968193,0
334139;OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA;0;0;0;287023089,10999995;432061125,6600004;320932127,5499996
319007;CONTRIBUICAO ENTIDADES FECHADAS PREVIDENCIA;0;0;0;20441722,25000003;65686590,11;80377046,09000014
319013;OBRIGACOES PATRONAIS;1657010397,439996;2166340594,199997;2422766970,3800015;2660514499,400012;2641625653,8599954;2802057962,969997
319005;OUTROS BENEFICIOS PREV.DO SERV. OU DO MILITA;1463105,8000000003;280472,75;5513,34;0;0;0
339133;PASSAGENS E DESPESAS COM LOCOMOCAO;0;0;0;1645889,0699999998;264764892,06;130872890,28000003
319001;APOSEN.DO RPPS,RESER.RENUM.E REF.DO MILITAR;1629885965,8000014;1517199721,0000014;1574098877,600003;19286479774,669994;21159314513,699978;23502074969,53
449091;SENTENCAS JUDICIAIS;323758255,24;487423481,01;198995,61;208870453,0;527360382,00000006;636674787,6800001
339150;SERVICOS DE UTILIDADE PUBLICA;0;0;0;2717462,0200000005;4140633,0;3843101,0
459065;CONST.OU AUMENTO DE CAPITAL DE EMPRESAS;3461385326,0999994;4311416204,190001;2974638779,3200006;4027271423,2599998;4343917053,21;4314316422,38
339008;OUTROS BENEFICIOS ASSISTENCIAIS;32314754,33;32295245,649999976;39339376,460000016;43213434,27000004;64850201,54000005;158062942,02999985
338041;CONTRIBUICOES;2231231,65;158700,0;0,0;1463776,04;0;0
459061;AQUISICAO DE IMOVEIS;57931834,70999999;152399344,16;221950227,10999998;60306485,010000005;92369638,92;11931011,24
319108;OUTROS BENEF.ASSIST.DO SERVIDOR E DO MILITAR;0;0;0;2034,7199999999996;1287,86;52,0
319003;PENSOES DO RPPS E DO MILITAR;93854961,93999992;67444827,42;66606043,46999995;5571353426,149997;5925196911,939998;6456139228,350003
449093;INDENIZACOES E RESTITUICOES;98357907,68;165785240,48000002;205166986,49999994;178064401,73000002;98253680,23000002;93533119,75999999
449052;EQUIPAMENTOS E MATERIAL PERMANENTE;2361485685,900016;2208723366,480014;1624799874,8399963;2373719427,0500164;1759248300,1600108;1616996474,4100034
339020;AUXILIO FINANCEIRO A PESQUISADORES;782196620,5699998;940573077,1599997;1039006256,6700006;1154212849,8300006;1157130637,6299999;1225696705,2900004
339143;SUBVENCOES SOCIAIS;0;0;0;1858853,86;2636992,0;15533396,0
319107;CONTRIBUICAO ENTIDADES FECHADAS PREVIDENCIA;0;0;0;15922,0;30302304,16;9741503,000000002
339092;DESPESAS DE EXERCICIOS ANTERIORES;169208268,91999924;389101844,07000047;118739218,66000015;72318662,17999984;86073644,4600002;376490409,37999755
339093;INDENIZACOES E RESTITUICOES;454413574,6399999;539711347,2;716382647,6300011;809034722,1300037;882582378,6499966;1514363098,9999971
469071;PRINCIPAL DA DIVIDA CONTRATUAL RESGATADA;3651171059,6800027;4137942397,9400024;4782895705,790002;5460063650,910001;5776159137,599999;7179203541,330004
339096;RESSARC.DE DESPESAS DE PESSOAL REQUISITADO;98875397,17999995;114282427,13000008;126385192,18000004;132273122,98000002;132206840,36999997;133479217,60999995
339141;CONTRIBUICOES;0;0;0;13335718,51;10712275,0;0
319016;OUTRAS DESPESAS VARIAVEIS-PESSOAL CIVIL;216489036,9799999;254745212,11999995;238130823,77000004;263137159,84;274581813,88000005;291436717,1
449139;OUTROS SERVIÇOS DE TERCEIROS-PESSOA JURÍDICA;0;0;0;0;0;1000,0
339192;DESPESAS DE EXERCICIOS ANTERIORES;0;0;0;755967,4400000001;2178724,1599999997;370395,0
444052;EQUIPAMENTOS E MATERIAL PERMANENTE;108170547,40000004;31991286,810000002;177036502,44999984;174468134,04000002;115237936,61000003;23004296,82
339032;MATERIAL, BEM OU SERV.P/DISTRIBUICAO GRATUIT;38672471,33000001;41986381,410000026;40858164,309999995;45450039,61999992;42091725,760000005;38900904,23999999
339037;SERVICOS DE LIMPEZA,VIGIL.E OUTROS-PES.JURID;1003368086,7300009;1191911071,9099982;1386676321,5399938;1731493556,4499965;1922474444,9000013;2129144546,5000107
329022;OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO;369517584,2799999;576168862,4800001;272982649,18;311959963,15000015;557821891,33;1013206912,29
335043;SUBVENCOES SOCIAIS;3477912046,3900003;3968002654,309999;4021565385,0399985;4369635827,589999;5005401638,480006;4918214874,229996
319049;AUXILIO TRANSPORTE;379276912,1400011;406518382,41000247;392591308,96000206;402715155,65999824;388640598,039999;448956826,18999916
334030;MATERIAL DE CONSUMO;166242435,75999883;313153797,43999404;239859668,46999535;299599908,30999964;290990834,3300002;268140688,440001
332041;CONTRIBUICOES;20828157,560000006;20561097,6;143406297,66999993;36829334,21000001;13029961,910000002;24650089,47
339009;SALARIO FAMILIA;3106,540000000001;43318,71;44228,49;0,0;0;0
339130;MATERIAL DE CONSUMO;0;0;0;40068784,57000003;53110563,81;254318333,07999995
339014;DIARIAS-CIVIL;143813908,86000228;140602501,18000025;148538282,56999674;186753852,50002676;171678956,59001645;177737671,24999315
449152;EQUIPAMENTOS E MATERIAL PERMANENTE;0;0;0;3461158,75;50394599,57;16712212,07
349039;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0;0;0;0
