CODIGO UNIDADE GESTORA;NOME UNIDADE GESTORA;2010;2011;2012;2013;2014;2015
180155;COMANDO POLIC.INT.-1 SJCAMPOS;519197,69;716925,0499999998;504704,33999999985;1426159,9799999984;1431143,1800000016;1469069,3399999994
80280;DIR.ENS.REG.ITAPEVI;6862793,960000002;6769525,139999999;7897369,430000001;8617817,36;11920567,780000001;13985367,239999998
100112;SUBSECR.DE CIENCIA,TECNOLOGIA E INOVACAO;18205422,73;3637207,6800000006;11083156,629999999;52994456,199999996;17761143,28;4985996,960000001
490101;GABINETE DO SECRETARIO;0;0,0;952799,8;1329385,93;1973417,0099999998;848102,95
90113;DEPTO.REG.SAUDE - DRS-II ARACATUBA;1869273,5000000002;3175174,5800000024;3658993,649999999;4332150,120000001;17723799,470000006;3170002,6199999987
380130;CTRO.PROGR. PENINT. DRA. MARINA M.C. OLIVEIR;637864,1299999999;1521104,0200000003;1997227,3299999998;1781766,7599999998;2295707,8899999997;2793729,809999999
90182;INST. LAURO DE SOUZA LIMA, BAURU;3290228,460000001;3311280,23;3534211,0099999984;4428276,1499999985;4829638,950000002;0
130189;ESC. DEF. AGROP. FERNANDOPOLIS;68365,51000000001;75420,88;56857,57;70228,15;94615,67000000001;104449,88000000002
130164;ESCRITORIO DE DESENV. RURAL DE PIRACICABA;166249,21999999997;172618,36;160993,39;241841,17999999996;280319,24999999994;301043,70999999996
380141;PENIT. DR.TARCIZO L.P.CINTRA DE TREMEMBE;967295,5599999998;1031133,98;1124436,95;1127610,3499999996;1400026,7300000002;1685071,3900000008
380210;PENIT.ASP.JOAQUIM FONSECA LOPES - PARELHEIRO;1052597,99;1190333,12;1652285,5399999998;1421394,4000000004;1907247,86;2053528,86
90130;CTO.ATENCAO INTEGRAL A SAUDE S.RITA;1830683,36;1923325,1799999997;2833194,7699999986;2965315,6600000006;3600965,7300000004;2983928,58
350137;CONSELHO EST.ASSISTENCIA SOCIAL - CONSEAS;10777,26;5608,119999999999;51832,240000000005;6845,530000000001;8148,0;7037,72
180286;1. DELEG.SECC.POLICIA DE CAMPINAS;3508175,420000001;3374886,4700000007;3920554,76;4710924,39;7263147,739999998;5671539,9799999995
210102;ADM.ENCARGOS GERAIS DO ESTADO;221762360,31;29561526,57;61941880,03;3305169,9200000004;41054223,63;5160173,5200000005
291201;FUND.SISTEMA ESTADUAL DE ANAL.DADOS-SEADE;3476133,97;2582340,8300000015;2841839,130000001;2603915,8099999996;3476219,5899999994;2908349,250000001
380131;PENIT. DE ASSIS;1094319,0500000003;1189079,41;1305366,6600000001;1452727,23;1880806,2599999995;2000635,9700000002
100113;UN. GERENCIAMENTO DO PROGRAMA-UGP;24135,440000000002;13906,220000000001;14099,54;83245,87999999999;816605,83;4268149,890000001
80329;DIR.ENS.REG.PIRASSUNUNGA;4614286,22;4741246,700000001;5616851,59;6357567,79;8645692,229999999;9358786,86
180204;5. GRUPAMENTO DE BOMBEIROS (5.GB);37200,66;90885,03;13218,51;3248,46;16942,15;3880,8
200173;GAB.COORD. TECNOLOGIA E GESTAO ESTRATEGICA;0;0;0;0;236767,79;111489,37999999999
80271;DIR.ENS.REGIAO SUL 1;11032150,66;11839012,489999995;13756299,21;15563164,05;22244052,25;24671258,8
200164;DEPTO. DE COMPRAS ELETRONICAS;1494995,6900000002;2416051,29;1774258,1100000003;2765729,34;2622807,9600000004;2132262,05
90120;HOSP.EST. DR.OSWALDO B. FARIA -MIRANDOPOLIS;1370203,7100000002;1526078,4100000001;1792546,1400000004;2069683,1500000006;2460549,9699999993;1831787,18
80343;DIR.ENS.REG. DE SOROCABA;9374537,419999996;9621989,35;11667457,769999996;12819153,560000002;16975378,069999997;19937486,590000004
90117;DEPTO.REG.SAUDE - DRS XI PRES.PRUDENTE;2254658,79;2803778,4799999986;2806930,2399999998;3601161,87;7584030,509999997;2291595,34
290103;COORD. DE PLANEJAMENTO E AVALIACAO;2152874,6699999995;1680618,25;1278227,92;3017797,31;11742444,950000001;1422590,73
180146;DELEG.SECC.POLICIA DE BOTUCATU;1222793,6900000004;1226469,7100000002;1288373,76;1294436,4300000002;1761042,8599999999;2145918,48
370101;GABINETE DO SECRETARIO;979894924,13;749363034,04;1348555688,4000006;1520168317,35;1324049067,91;352925290,2299999
180273;DELEG.SECC.POLICIA DE FRANCO DA ROCHA;1106401,9699999997;1206515,95;1415210,75;1553011,8799999997;2407320,1300000004;2136085,96
180149;CADEIA PUBLICA 3;0,0;0,0;0;0;0;0
500105;DIVISAO DE OPERACOES E ATIVIDADES;0;0,0;7763,77;8972902,299999999;568179,5;392239,78
90119;HOSP. MANOEL DE ABREU, BAURU;972,75;982,75;1086,75;1239,8;0,0;0
380251;PENITENCIARIA FEMININA DE TUPI PAULISTA;0;0,0;1017059,4;1072838,2599999998;1436970,4100000001;1492349,1
180363;COMANDO POL.AREA METROP.-12 (CPA/M-12);319620,19999999995;145293,30000000002;133442,74999999994;404342,06999999983;668486,0000000001;555299,07
442101;INST. ASSISTENCIA MEDICA AO SERVIDOR PUBLICO;85215754,3400001;108801276,49999997;94732742,66999999;99895777,76000012;97140899,42000002;46445383,81999996
380220;CDP.ASP NILTON CELESTINO-ITAP.SERRA;2566227,2;1715584,56;2057754,9599999997;1191531,43;2258655,6300000004;2451638,66
180346;36.BATALHAO DE POL.MIL.METROPOLITANO-36.BPM/;84088,51000000001;45367,99000000001;47741,380000000005;0;0;0
370107;UNID.COORD.COM.MONIT.CONCESSOES E PERMISSOES;725981,88;1785607,0499999998;849615,74;541997,24;237068,3;4886790,16
180254;42.BATALHAO POL.MIL.INT. P.VENCESLAU;165638,94000000006;189545,43999999997;51171,590000000004;0;0;0
90038;FED-INSTITUTO BUTANTAN;0;0,0;213827,0;174056,1;165905,6;701086,5099999999
260101;GABINETE DO SECRETARIO;14371517,620000001;7912477,350000001;11673639,84;3240021,9699999997;6405376,169999999;15236605,839999994
180259;28.BATALHAO POL.MIL.INT. ANDRADINA;465736,13000000006;109525,8;78422,45;0;0;0
90031;FED-CTO.ATENCAO INT.SAUDE STA.RITA;0,0;0,0;0,0;0;0;0
180256;2. BATALHAO POL.MIL.INT. ARACATUBA;609123,5299999999;123666,38999999998;0;0;0;0
180246;43.BATALHAO POL.MIL.INT. SERTAOZINHO;165600,94999999998;171098,30999999994;113281,29;0;0;0
130180;ESC. DEF. AGROP. ASSIS;146994,94;162594,44;154550,77;202243,03;212211,74;206136,52
80296;DIR.ENS.REG.BARRETOS;3383638,53;3462523,5900000003;4072804,05;4309189,519999999;6148388,389999998;6866583,269999999
390104;COORD. DE RECURSOS HIDRICOS - CRHI;0;0,0;157982,2;156014,40999999997;60051,15;242100,87999999998
180159;COMANDO POLIC.INT.-4 BAURU;804809,89;474326,42;479478,52000000014;3797749,9200000037;1867787,19;1547344,2999999998
90110;CTO. REFERENCIA E TREINAMENTO-DST/AIDS;7241473,110000001;5539941,109999999;7614916,240000002;6152941,089999999;11805176,079999998;13689292,540000001
290101;GABINETE DO SECRETARIO;82360741,03;71024393,82;94621035,51;55088747,120000005;32387320,86;22065426,74
180372;CTO.ALTOS ESTUDOS E SEGUR. CEL NELSON F.TERR;0,0;38581,009999999995;261210,84000000003;143535,07;52855,3;0
160101;GABINETE DO SECRETARIO;876833041,69;383841655,11;339825794,7099999;459598583,83000004;46786059,469999984;28886941,63
350139;DIR.REG.ASSIST.DES.SOCIAL DE BOTUCATU;30271,009999999995;30574,479999999992;42967,33;47234,280000000006;34560,780000000006;40975,24999999999
130139;ESC. DESENV. RURAL DE AVARE;132626,57;185191,11999999994;113310,85;137155,45;170572,86000000002;165287,8
200131;DELEG.REG.TRIBUTARIA DA CAPITAL - DRTC-II;5865993,139999999;7158228,65;16065319,93;15553260,580000002;16260206,24;7246924,580000001
80323;DIR.ENS.REG.MIRANTE DO PARANAPANEMA;2782976,970000001;3160341,84;3361003,4799999995;3885786,1399999997;5184149,550000001;5973992,38
180360;7.DEL.SECC.POLICIA JUDICIARIA DA CAPITAL;2929150,26;2966377,19;3607394,0600000005;4076991,209999998;5470621,2700000005;5604140,399999999
380170;C.D.P. - AG. SEG.PENIT. PAULO G.ARAUJO;1976578,31;2167146,95;1967391,4700000002;1003578,3399999997;2807355,76;2370474,0199999996
510105;GABINETE DO SECRETARIO;0;0;0;0;0;0,0
483101;EMPRESA PAULISTA DE PLANEJ.METROP.S.A;0;0,0;11965901,41;9119622,540000001;9402848,160000002;325985,92000000004
90195;SECR.EXECUTIVA CONSELHO ADMINISTRATIVO-FESIM;0;0,0;1957673,0;1106627,03;1588853,5;1091805,0
130141;ESC. DESENV. RURAL DE BAURU;270670,53;147527,43;154148,40000000002;203126,78;263498,18;259419,82
180367;DEPTO POL.JUD.SP INTERIOR-DEINTER9-PIRACICAB;342472,16;224060,42;333367,74000000005;283769,49000000005;517148,44999999995;612869,8300000001
380136;PENIT. II DE ITAPETININGA;1067243,1600000001;1056927,0999999996;1292639,39;1437719,6299999997;2010200,4900000002;2018152,15
180226;5. BATALHAO POL.MIL.INT.-GEN.JULIO M.SALGADO;1305354,3200000005;509885,8300000001;687878,51;0;0;0
260123;UGL - MEIO AMBIENTE;0;0;0;0;0,0;5767400,0
400111;PROCUR.REGIONAL DE SANTOS;395761,17;428808,16000000003;384323,79000000004;460620,83;416230,51;475548,60000000003
200125;DELEG.REG.TRIBUTARIA DE GUARULHOS - DRT-13;3821830,61;4531066,499999999;9516035,99;10110041,43;10299267,14;4650212,08
130207;ESC. DEF. AGROP. PRES.PRUDENTE;155965,07000000004;171478,01;162764,09000000003;168643,99;228560,33999999994;222689,57
91102;FUND.P/REM.POPULAR-CHOPIN T. DE LIMA-FURP-AB;689033,72;771055,6599999999;2677499,4800000004;1001185,31;1279094,04;582059,4200000003
90159;HOSP. GERAL S.MATEUS, DR.MANOEL BIFULCO;4557895,07;4783604,590000002;5864239,66;8258847,380000004;10134430,500000002;10750687,94
130181;ESC. DEF. AGROP. AVARE;71568,70999999999;78761,97;73304,24;96796,3;108027,97;96867,43999999999
380186;CDP-ASP.GIOVANI M.RODRIGUES,DE GUARULHOS I;1669757,7099999997;1801608,68;1944316,9199999997;1983328,8299999998;2728927,15;2865242,0100000002
510032;FDO.SOC.SOLIDARIEDADE EST. SP-FUSSESP;0;0;0;0;0;0,0
90140;HOSP.DR.LEONARDO BEVILACQUA-ARIQUERA-ACU;267396,15;191009,66;194774,18;226934,55999999997;0;0
410103;COORDENADORIA DE ESPORTES E LAZER;8136921,57;15503070,62;10664563,38;10568246,690000003;11559522,980000004;10355886,439999994
90155;HOSPITAL GERAL DE TAIPAS;5598807,260000001;4551383,09;6708190,269999999;6218084,089999999;7936445,8999999985;6363480,6899999995
180284;DELEG.SECC.POLICIA DE SAO SEBASTIAO;1649052,6400000004;1044797,0200000003;988235,29;1543314,5699999996;1631735,49;1734315,4000000001
80297;DIR.ENS.REG.BAURU;8351841,090000002;8667084,870000001;10204872,549999997;10931083,32;15433518,67;18599253,570000004
90194;CTO.VIGIL. EPIDEMIOLOGICA PROF.A.VRANJAC-CVE;1639874,14;4997446,9399999995;3712665,8100000005;4962431,819999999;6511455,670000001;8221093,140000001
10101;ASSEMBLEIA LEGISLATIVA;53605828,12000001;73871172,31;52086638,789999984;57191846,320000015;88617336,72000001;78460945,16999999
350033;FED - DO IDOSO;0;0;0;0;0;0,0
180350;49.BATALHAO DE POL.MIL.DO INTERIOR-(49.BPM/I;164810,3999999999;152230,17999999996;346883,94000000006;0;0;0
80153;DIVISAO DE ADMINISTRACAO;415348,19999999995;521201,18;839853,27;0,0;0,0;0
130147;ESC. DESENV. RURAL DE FERNANDOPOLIS;114039,43000000001;139243,80000000002;99891,07;135706,85;185299,41;181518,11000000002
130151;ESC. DESENV. RURAL DE ITAPETININGA;150057,85;192809,13999999996;149052,84;193996,32;207303,28;212847,63
350173;COORD. DE SEGURANCA ALIMENTAR E NUTRICIONAL;0;0;0,0;11841020,91;15783546,439999994;2012655,8499999999
180123;ACADEMIA DE POLICIA;2277491,1599999988;1727592,55;2734819,63;8538636,22;6739561,36;9524459,68
380259;CTO.PROG.PENIT. DE JARDINOPOLIS;0;0;0;0,0;964205,8599999999;945151,05
400110;PROCUR.REGIONAL DA GDE.SAO PAULO;604707,28;1020754,15;1122771,0599999994;924484,0;1099859,3499999999;1003729,4
90135;DEPTO.REG.SAUDE DE TAUBATE - DRS-XVII;2483155,4100000006;1858553,1499999994;7111036,680000002;5772606,879999998;14169721,270000003;2136735,189999999
80347;DIR.ENS.REG.TUPA;3479455,3599999994;3743077,3900000015;4236920,169999999;4549102,72;6186935,049999999;7016958,740000001
260030;FED-PRESERV.BIODIVERSIDADE E DOS REC.NATURAI;419962,92999999993;2242367,7400000007;596497,9399999997;505920,16999999987;3441655,0500000007;5011057,2299999995
380118;PENIT. DR.GERALDO A.VIEIRA-S.VICENTE;767133,47;695897,1100000005;904415,0999999999;1508473,82;1813669,6199999999;2039924,5199999998
380043;FED-CENTRO PROGR.PENIT.PROF.NOE AZEVEDO;0;0;0;0;0;48125,33
101301;FUND.UNIVERSIDADE VIRTUAL DO EST.S.PAULO;0;0;0;0,0;5116355,75;3081118,8500000006
200156;CENTRO REG. ADM. DE PRES.PRUDENTE;383552,7599999999;211560,97;474589,14999999997;373777,63999999996;307659,19999999995;216396,95
200159;CENTRO REG. ADMINISTRACAO DE GUARULHOS;267723,35000000003;188671,26;246885,74;317545,6599999999;321812,4199999999;203577,54
120030;FED. GAB.SECRETARIO E ASSESSORIAS;2900400,9299999997;2609871,1;1790105,24;766715,0499999999;208992,72999999998;311920,0
280113;SUBSECRETARIA DE REL COM MUNICIPIOS;0;0;0;0;0;0,0
80336;DIR.ENS.REG.SAO JOAO DA BOA VISTA;6298140,289999997;6862234,590000001;7790191,939999997;8422213,009999998;11147138,509999998;13583952,400000006
180197;COMANDO DE POLICIAMENTO RODOVIARIO;143665,53000000003;107262,4;21197,52;24186,88;254736,65000000002;147322,44
180235;24.BATALHAO POL.MIL.INT. SJBVISTA;443584,0399999997;74885,30000000002;34181,350000000006;0;0;0
80299;DIR.ENS.REG.BOTUCATU;3414868,7299999995;3677116,8999999994;3917268,96;4265165,540000002;5634697,229999999;6905635,469999999
200178;DEPART. GESTAO DIVIDA E HAVERES DO ESTADO;0;0;0;0;0;0,0
100119;SUBSECR. TRAB. ARTESANAL COMUNIDADES-SUTACO;0;0;0;0;0;0,0
90186;CENTRO PIONEIRO EM ATENCAO PSICOSSOCIAL-AJJE;374780,35000000003;510676,9499999998;851436,9299999998;675363,14;727794,1799999999;617610,65
130210;ESC. DEF. AGROP. RIBEIRAO PRETO;106985,01000000001;112882,56;115113,94;125984,37000000001;195558,37;207239,7
370108;ESTRADA DE FERRO CAMPOS DO JORDAO;0;0,0;2496211,81;3133202,3499999996;4601200,720000001;8359613,780000001
380128;PENIT. SILVIO Y. HINOHARA, PRES.BERNARDES;946993,0999999996;971432,3700000002;1249443,8299999996;1440217,2600000007;2092256,6899999997;2023781,02
90132;DEPTO.REG.SAUDE - DRS-X PIRACICABA;973135,7200000006;2233560,65;5306073,35;5073527,95;11148419,799999997;2538218,3199999994
130184;ESC. DEF. AGROP. BOTUCATU;74221,11999999998;66320,48000000001;70216,67;105012,97999999998;134859,41;130587,56000000001
440102;UNIDADE CENTRAL DE RECURSOS HUMANOS;3618450,1699999995;1418911,0299999998;1555883,91;1572520,01;2633563,4399999995;2028413,99
90188;CTO REF. ALCOOL, TABACO E OUTRAS DROGAS;401500,80000000016;434235,12;558235,65;478792,00999999995;759773,7500000002;511484,1499999999
180129;DEPTO.EST.PREV.E REPRE. NARCOTRAFICO-DENARC;1525502,7999999998;1566097,64;2271487,0600000005;2217169,98;2282004,4499999997;2698370,0500000003
162109;DR.07 - ASSIS;300397,32999999996;1710663,8900000001;1090647,27;605210,5500000002;606832,8999999998;1015118,4900000002
80330;DIR.ENS.REG.PRESIDENTE PRUDENTE;4441619,940000001;4599849,959999998;5598582,670000001;5753156,969999997;7945390,559999999;8706164,3
350156;DIR.REG.ASSIST.DES.SOC.-ALTA PAUL,EM DRACENA;31067,620000000003;41809,33;65816,82;63754,719999999994;63046,85999999999;57382,13999999999
200167;DELEGACIA TRIBUTARIA DE JULGAMENTO 3 - DTJ-3;809991,88;901630,9400000001;2405563,81;2601137,03;2993650,87;1496036,68
510102;DEPARTAMENTO DE ADMINISTRACAO;0;0;0;0;0;0,0
180250;25.BATALHAO POL.MIL.INT. DRACENA;265229,03;256659,04999999996;73283,17;1005,0;0;0
200138;DEPTO.INFORM.PLANEJ.FINANC.DO ESTADO;95417,08;137527,21;440837,20999999996;364740,10000000003;370593,4;213489,39
180111;DELEG.SECC.POLICIA DE ARACATUBA;1637358,9400000004;2361764,829999999;2813425,82;2487706,23;3627223,9300000006;3897068,9899999998
200172;UNIDADE DE EXECUCAO DE PROGRAMA - UEP;9045027,55;1691567,89;908861,8;1572093,6199999999;0;0
130175;GABINETE DO COORDENADOR;12968526,38;12165940,01000001;438039,30999999994;735750,18;1826776,8599999999;831275,9700000001
100118;DIR.ADM.JUNTA COMERCIAL ESTADO SAO PAULO;0;0,0;5987233,14;2455824,6000000006;0;0
180173;GPO.RADIO PATRUL.AEREA POL.MIL. JOAO NEGRAO;6624152,480000001;5424326,34;3981786,33;5130839,06;5314234,749999999;2478290,11
180276;DELEG.SECC.POLICIA DE OSASCO;2099590,6799999997;2112614,0600000005;2469767,069999999;2541248,87;3783611,639999999;4151334,5
200170;REPRESENTACAO FISCAL DE CAMPINAS;335949,58;379542,94;678247,6900000001;713092,08;921152,1599999999;367361,4199999999
200108;TRIBUNAL DE IMPOSTOS E TAXAS - TIT;475904,11000000004;605187,6300000001;1511590,4200000002;1579349,65;1651471,71;763595,8200000001
160107;CENTRO TECNICO OPERACIONAL;0;0,0;2201178,56;20548317,03;28753620,550000004;52195757,31
130172;ESC. DESENV. RURAL DE SOROCABA;160776,49;173803,13;179484,56;218018,49000000005;251393,31;192222,71
290105;DEPARTAMENTO DE ADMINISTRACAO;0,0;0,0;0;0;0;0
180205;6. GRUPAMENTO DE BOMBEIROS (6.GB);40188,26;60875,18000000001;53632,420000000006;69632,5;154010,33000000002;37385,549999999996
200147;DEPTO. DE SUPRIMENTOS E INFRAESTRUTURA;16525579,219999999;15015045,539999997;19503890,319999993;9621359,390000004;13943644,87;7879058,130000004
380257;PENITENCIARIA DE CERQUEIRA CESAR;0;0;0;0,0;1149816,84;1276293,4100000001
230104;DEPARTAMENTO DE ADMINISTRACAO;312283,5800000001;430328,0;539867,73;859111,8000000002;1067254,38;1162818,4800000002
180216;ADMINISTRACAO DA SUPERINTENDENCIA;5087244,46;10814632,290000003;5583172,979999999;26676082,310000006;17541555,480000004;9092245,559999995
180358;5.DELEG.SECC.POLICIA JUDICIARIA DA CAPITAL;3140716,75;3555071,92;3699879,67;4209589,569999999;4978365,82;5193385,62
380262;CTO.PROGRESSAO PENITENCIA DE PORTO FELIZ;0;0;0;0;0,0;1092669,6800000002
130191;ESC. DEF. AGROP. GENERAL SALGADO;73554,69;75742,17;77696,14000000001;94177,40999999999;125551,83999999998;98635,20999999999
380184;DEPTO. DE ADM. C.U.P.REG.NOROESTE EST.;2817170,25;2570546,8200000003;4841779,240000001;2364392,3600000003;4884848,64;6822127,270000001
80351;DIRETORIA DE ENSINO REGIAO DE AVARE;2548567,14;2949521,8699999982;2993027,099999998;3439792,6300000004;4788639,53;5375801,4399999995
380032;FED-CTO.PROG.PENIT.DR.JAVERT DE ANDRADE;34798,16;45940,420000000006;7270,0;6886,5;10698,8;33722,42
