CODIGO ELEMENTO DE DESPESA;NOME ELEMENTO DE DESPESA;2010;2011;2012;2013;2014;2015
459064;AQUIS.DE TITS.REPR.DE CAP.JA INTEGRALIZADO;0,0;0,0;0;0;0;0
449092;DESPESAS DE EXERCICIOS ANTERIORES;15804399,47;6192842,640000001;3878056,1700000004;3097968,1999999997;3643802,77;81431819,79999998
339018;AUXILIO FINANCEIRO A ESTUDANTES;49378437,55999996;57319229,699999936;81710956,54000013;118350426,87999992;103939620,63999997;122954600,86000012
442042;AUXILIOS;0,0;3585537,33;430676670,79999995;219000000,0;373377851,02;248320495,0
494031;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0,0;0;0;0
319011;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;21098273747,379776;22359108672,50001;24990903866,999897;28232123606,510067;32725142779,17029;36777094573,039925
319111;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;0;0;0;410416431,6999999;650138431,37;707171957,8600003
444051;OBRAS E INSTALACOES;485703809,0899998;198497256,74000004;527725407,46999997;196816903,7;481383732,3100005;187408143,14000002
339045;SUBVENCOES ECONOMICAS;0;0;0,0;19364553,14;0,0;0,0
339137;SERVICOS DE LIMPEZA,VIGIL.E OUTROS-PES.JURID;0;0;0;6793829,53;15573804,42;13104343,7
459052;EQUIPAMENTOS E MATERIAL PERMANENTE;0,0;0,0;0;0;0;0,0
339039;OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA;8321843928,189941;8789354533,8901;9854657239,579916;12208216586,099995;13114338792,639938;13434339684,689846
447042;AUXILIOS;79906,26;2034141,2199999997;0,0;2459128,6100000003;184536,0;0
339048;OUTROS AUXILIOS FINANCEIROS A PES.FISICAS;258287901,70000032;350138055,43999964;350671740,92999977;279923983,21000004;315138467,20000017;275482196,7599999
339001;APOSENTADORIAS,RESERVA REMUNERADA E REFORMAS;11413554758,360003;13150408526,910004;15864154765,629995;0,0;0;0
459063;AQUISICAO DE TITULOS DE CREDITO;0;0;0;0;0;89944956,04
339003;PENSOES;3592841707,19;4019116986,9799995;4667477112,410001;0,0;0;0
319194;INDENIZACOES E RESTITUICOES TRABALHISTAS;0;0;0;0,0;1644,4;0
335039;OUTROS SERVICOS DE TERCEIROS- PESSOA JURIDIC;2634736,83;4422336,720000001;42055570,2;57107285,20999999;93831461,3;856920941,1899999
319008;OUTROS BENEF.ASSIST.DO SERVIDOR E DO MILITAR;2819258,4200000004;1706228,34;1904450,88;2710905,8000000073;3605353,2099999967;4583852,849999976
334039;OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA;410394995,93999994;455128382,1099997;558620742,4700009;258868969,38000017;148527347,33000004;96516724,22
341444;CLASSIF.DO EXERCICIO ANTERIOR_¨;0,0;0,0;0,0;0;0;0
445042;AUXILIOS;296330407,97999996;98658902,97999997;134614554,23999995;135525438,84999996;137340811,10000005;15565668,93
444092;DESPESAS DE EXERCICIOS ANTERIORES;0;0;0;0;128135,75;0
319116;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;0;0;0;0,0;0,0;1870335,5000000002
319009;SALARIO FAMILIA;575073,3799999979;683184,2999999986;512572,12999999843;0,0;0,0;0
339139;OUT SERV DE TERC-PJ INTRA ORCAMENTARIAS;46327789,160000004;66441553,55000006;72918533,68000008;493432131,96000004;793312359,6599996;495941727,8699996
337041;CONTRIBUICOES;110235778,53000002;127894065,64000003;130687885,88999999;147940506,65000004;147642428,4;155227696,58999997
319113;OBRIGACOES PATRONAIS;11209587980,530064;12789130260,199987;15519284435,370045;15198808659,170124;16794576545,979906;19255189885,519897
319109;SALARIO FAMILIA;2838,1800000000003;2831,0200000000004;1756,2600000000002;0,0;0;0
449039;OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA;14649050,42;2398281,29;14263678,46;36888492,28999999;177573778,71999997;18778181,280000005
449051;OBRAS E INSTALACOES;6392832631,909999;2922343449,8200026;1903798286,1200008;5541992822,550008;6805991813,01999;4575159508,480002
459165;CONST.OU AUMENTO DE CAPITAL DE EMPRESAS;786757569,83;534406547,39;384272694,71000004;278368235,32;584444388,26;508388451,07
339193;INDENIZACOES E RESTITUICOES;0;2570881,1699999995;500734,18999999994;28690,18;5079,76;20662,0
334139;OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA;0;0;0;271408474,42999977;413692006,83000106;303962061,97999966
319007;CONTRIBUICAO ENTIDADES FECHADAS PREVIDENCIA;0;0;0;3480990,3599999966;10362237,540000014;14718483,890000017
319013;OBRIGACOES PATRONAIS;1439255626,629998;1804986045,3300016;2046572421,6200023;2253934027,910002;2317565344,0199966;2484123125,240001
319005;OUTROS BENEFICIOS PREV.DO SERV. OU DO MILITA;882403,0799999998;176190,15000000002;5513,34;0;0;0
339133;PASSAGENS E DESPESAS COM LOCOMOCAO;0;0;0;1226301,9200000002;264413460,47;112208683,01
319001;APOSEN.DO RPPS,RESER.RENUM.E REF.DO MILITAR;1389803737,5200012;1415105856,1100016;1462692056,2900023;16839858952,700005;19320290846,449997;20562101012,66
449091;SENTENCAS JUDICIAIS;1029978,75;24528274,02;177002,49;193319496,90000004;482743456,51000005;601996447,7800001
339150;SERVICOS DE UTILIDADE PUBLICA;0;0;0;2508542,1300000004;3895983,7;3254757,0499999993
459065;CONST.OU AUMENTO DE CAPITAL DE EMPRESAS;2233265707,01;1574779461,95;1620775163,52;2976777658,2;4151369650,56;3739223870,1599994
339008;OUTROS BENEFICIOS ASSISTENCIAIS;29995817,429999996;30866953,62999998;36913279,13000002;41155708,54000003;53334317,84;146736207,15999997
338041;CONTRIBUICOES;2231231,65;157357,2;0,0;1463776,04;0;0
459061;AQUISICAO DE IMOVEIS;49135554,53999999;78442230,16000001;94810298,77999999;25903370,35;85167860,17;6776703,56
319108;OUTROS BENEF.ASSIST.DO SERVIDOR E DO MILITAR;0;0;0;1865,1599999999996;1252,86;0,0
319003;PENSOES DO RPPS E DO MILITAR;87998937,00999992;61896220,92;59487131,849999964;5150331364,659998;5539394910,229999;5947179478,930001
449093;INDENIZACOES E RESTITUICOES;97196360,56;112337085,30999999;198012538,39999995;126885243,62;93538489,73;90905632,47999999
449052;EQUIPAMENTOS E MATERIAL PERMANENTE;1199848325,4999976;683031351,7899992;651966167,2400007;1216023833,8300042;1295421082,4500053;886986156,5499984
339020;AUXILIO FINANCEIRO A PESQUISADORES;757038470,8599998;915600900,63;1010238934,46;1078605906,820001;1083426065,58;1123137177,41
339143;SUBVENCOES SOCIAIS;0;0;0;1858853,86;2321835,99;11610084,809999999
319107;CONTRIBUICAO ENTIDADES FECHADAS PREVIDENCIA;0;0;0;8224,18;266676,56;5659377,29
339092;DESPESAS DE EXERCICIOS ANTERIORES;168295048,39999926;345769048,9599997;112484105,27;69167413,43999986;67089840,13999999;365585175,559998
339093;INDENIZACOES E RESTITUICOES;429655501,81999993;445109316,7099999;676591202,220001;747174780,0900036;779050111,0599965;1415375809,5699968
469071;PRINCIPAL DA DIVIDA CONTRATUAL RESGATADA;3650817617,6700025;3826973668,1600018;4428922650,970001;5079003902,590001;5350652952,12;6725110014,750002
339096;RESSARC.DE DESPESAS DE PESSOAL REQUISITADO;84083909,08999991;98974618,65999998;110183643,73999998;110399613,52000004;110762040,63000001;112376531,54999998
339141;CONTRIBUICOES;0;0;0;11708421,0;10712275,0;0
319016;OUTRAS DESPESAS VARIAVEIS-PESSOAL CIVIL;201604492,48000005;222184272,39999992;206025917,20000008;223540962,19;244372591,21999997;260481157,10000008
449139;OUTROS SERVIÇOS DE TERCEIROS-PESSOA JURÍDICA;0;0;0;0;0;0,0
339192;DESPESAS DE EXERCICIOS ANTERIORES;0;0;0;584037,7000000001;1552010,68;363724,67
444052;EQUIPAMENTOS E MATERIAL PERMANENTE;101412161,03000003;11026834,68;125269665,36999999;86142498,99000001;112029643,28000003;9804685,03
339032;MATERIAL, BEM OU SERV.P/DISTRIBUICAO GRATUIT;21634663,439999986;26163548,589999992;26222972,639999993;34862624,559999906;36760544,059999995;27690229,859999996
339037;SERVICOS DE LIMPEZA,VIGIL.E OUTROS-PES.JURID;860848091,7200016;984751436,4299992;1148784643,5999966;1476330667,8500032;1669353557,2800035;1851730958,4500058
329022;OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO;369517349,7999999;565543896,2200001;269242509,41999996;267765241,36000004;526710674,6000002;876678636,7299998
335043;SUBVENCOES SOCIAIS;3445404770,5499997;3868760839,48;3945778676,769997;4150394948,7700005;4917291607,550012;4884831890,949993
319049;AUXILIO TRANSPORTE;345085178,40000147;374100307,5800018;361667838,74000114;370258707,31999886;356433829,59999895;413404131,749999
334030;MATERIAL DE CONSUMO;164109834,77999887;186232135,60999623;229122965,3699956;288198640,9699998;287586390,1400003;266212395,38000098
332041;CONTRIBUICOES;16751668,29;18896117,780000005;127292158,80999996;29137612,14999999;12837306,9;19920895,339999996
339009;SALARIO FAMILIA;2823,11;43168,29;44068,83;0,0;0;0
339130;MATERIAL DE CONSUMO;0;0;0;35275421,67000002;40423591,059999995;172321807,93999994
339014;DIARIAS-CIVIL;135762355,69000143;130181063,26999928;138440800,7899975;174532313,93002337;159559457,64001676;160344070,62999356
449152;EQUIPAMENTOS E MATERIAL PERMANENTE;0;0;0;3321475,0;41949156,99;13275639,23
349039;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0;0;0;0
